PURCH_ORDER,SUPPLIER_ORIGIN,CURRENCY
B0047420,Germany,EUR
B0047421,Germany,EUR
B0047422,Germany,EUR
B0047424,Germany,EUR
B0047425,Germany,EUR
B0047430,Germany,EUR
B0047431,Germany,EUR
B0047432,Germany,EUR
B0047436,UK,
B0047446,UK,
B0047471,UK,
B0047474,Germany,EUR
B0047494,Germany,EUR
B0047495,Germany,EUR
B0047503,UK,
B0047509,Germany,EUR
B0047510,Germany,EUR
B0047515,UK,
B0047522,UK,
B0047523,UK,
B0047525,UK,
B0047529,UK,
B0047532,UK,
B0047533,UK,
B0047674,UK,
B0047705,Germany,EUR
B0047706,Germany,EUR
B0047738,UK,
B0047742,Germany,EUR
B0047743,Germany,EUR
B0047746,Germany,EUR
B0047781,Germany,EUR
B0047806,UK,
B0047807,UK,
B0047845,UK,
B0047871,UK,
B0047848,UK,
B0047878,Germany,EUR
B0047879,Germany,EUR
B0047891,UK,
B0047894,Germany,EUR
B0047904,UK,
B0047910,UK,
B0047911,UK,
B0047943,UK,
B0047947,UK,
B0047970,UK,
B0047974,UK,
B0047975,UK,
B0048043,UK,
B0048045,UK,
B0048048,UK,
B0048183,UK,
B0048194,UK,
B0048196,UK,
B0048197,UK,
B0048198,UK,
B0048199,UK,
B0048200,UK,
B0048208,Germany,EUR
B0048209,UK,
B0048210,Germany,EUR
B0048211,UK,
B0048220,Germany,EUR
B0048229,UK,
B0048230,UK,
B0048236,UK,
B0048261,UK,
B0048262,UK,
B0048275,UK,
B0048276,UK,
B0048312,Germany,EUR
B0048313,Germany,EUR
B0048315,UK,
B0048365,UK,
B0048386,USA,USD
B0048387,USA,USD
B0048388,USA,USD
B0048390,USA,USD
B0048391,USA,USD
B0048392,USA,USD
B0048396,UK,
B0048411,UK,
B0048428,UK,
B0048485,UK,
B0048486,UK,
B0048487,UK,
B0048488,UK,
B0048490,UK,
B0048491,UK,
B0048492,UK,
B0048493,UK,
B0048520,UK,
B0048525,UK,
B0048526,UK,
B0048528,UK,
B0048550,Germany,EUR
B0048566,UK,
B0048569,UK,
B0048586,UK,
B0048587,UK,
B0048596,UK,
B0048598,UK,
B0048599,UK,
B0048602,UK,
B0048603,UK,
B0048606,UK,
B0048607,UK,
B0048622,Germany,EUR
B0048623,UK,
B0048624,UK,
B0048626,Germany,EUR
B0048639,UK,
B0048649,UK,
B0048684,UK,
B0048701,Germany,EUR
B0048810,UK,
B0048640,UK,
B0048641,UK,
B0048642,UK,
B0048643,Germany,EUR
B0048644,Germany,EUR
B0048645,Germany,EUR
B0048646,Germany,EUR
B0048657,UK,
B0048658,UK,
B0048659,UK,
B0048660,UK,
B0048661,UK,
B0048662,UK,
B0048663,UK,
B0048664,UK,
B0048827,Germany,EUR
B0048828,Germany,EUR
B0048832,UK,
B0048692,UK,
B0048700,Germany,EUR
B0048708,UK,
B0048709,UK,
B0048719,UK,
B0048766,Germany,EUR
B0048768,Germany,EUR
B0048769,Germany,EUR
B0048770,Germany,EUR
B0048835,UK,
B0048853,UK,
B0048854,UK,
B0048872,Germany,EUR
B0048873,Germany,EUR
B0048875,Germany,EUR
B0048876,Germany,EUR
B0048877,Germany,EUR
B0048878,Germany,EUR
B0049131,UK,
B0048882,Germany,EUR
B0048884,UK,
B0048885,UK,
B0048890,UK,
B0048891,UK,
B0048906,Germany,EUR
B0048914,UK,
B0048915,USA,USD
B0048916,USA,USD
B0048922,Germany,EUR
B0048923,Germany,EUR
B0048924,Germany,EUR
B0048925,Germany,EUR
B0048926,Germany,EUR
B0048927,Germany,EUR
B0048952,USA,USD
B0048974,Germany,EUR
B0048976,USA,USD
B0048928,Germany,EUR
B0048929,Germany,EUR
B0048930,Germany,EUR
B0048931,Germany,EUR
B0048932,Germany,EUR
B0048933,Germany,EUR
B0048934,Germany,EUR
B0048935,Germany,EUR
B0048936,Germany,EUR
B0048939,Germany,EUR
B0048940,Germany,EUR
B0048941,Germany,EUR
B0048992,UK,
B0048993,UK,
B0048994,UK,
B0049129,UK,
B0049130,UK,
B0049007,UK,
B0049008,UK,
B0049009,UK,
B0049010,UK,
B0049012,UK,
B0049022,UK,
B0049027,UK,
B0049028,UK,
B0049029,UK,
B0049030,UK,
B0049031,UK,
B0049051,UK,
B0049052,UK,
B0049061,Germany,EUR
B0049109,UK,
B0049111,UK,
B0049124,UK,
B0049127,UK,
B0049128,UK,
B0049134,UK,
B0049146,Germany,EUR
B0049147,Germany,EUR
B0049186,UK,
B0049187,UK,
B0049191,Germany,EUR
B0049206,Germany,EUR
B0049207,Germany,EUR
B0049212,UK,
B0049227,UK,
B0049228,UK,
B0049252,Germany,EUR
B0049253,Germany,EUR
B0049254,Germany,EUR
B0049255,Germany,EUR
B0049260,UK,
B0049279,UK,
B0049280,UK,
B0049281,UK,
B0049282,UK,
B0049283,UK,
B0049284,UK,
B0049285,UK,
B0049286,UK,
B0049287,UK,
B0049288,UK,
B0049308,UK,
B0049310,UK,
B0049311,UK,
B0049318,UK,
B0049321,UK,
B0049322,UK,
B0049329,UK,
B0049332,UK,
B0049333,UK,
B0049337,UK,
B0049339,UK,
B0049340,UK,
B0049342,UK,
B0049349,UK,
B0049411,UK,
B0049346,UK,
B0049353,UK,
B0049364,Germany,EUR
B0049412,UK,
B0049455,UK,
B0049458,UK,
B0049460,UK,
B0049461,UK,
B0049462,UK,
B0049463,UK,
B0049466,UK,
B0049468,UK,
B0049470,UK,
B0049471,UK,
B0049472,UK,
B0049474,UK,
B0049485,UK,
B0049647,UK,
B0049648,UK,
B0049486,UK,
B0049487,UK,
B0049498,USA,USD
B0049514,UK,
B0049515,UK,
B0049531,UK,
B0049555,Germany,EUR
B0049556,Germany,EUR
B0049565,UK,
B0049566,UK,
B0049587,UK,
B0049588,UK,
B0049592,UK,
B0049593,Germany,EUR
B0049600,Germany,EUR
B0049602,UK,
B0049620,UK,
B0049621,UK,
B0049622,UK,
B0049624,UK,
B0049630,UK,
B0049629,UK,
B0049649,UK,
B0049650,UK,
B0049651,UK,
B0049652,UK,
B0049653,UK,
B0049654,UK,
B0049655,UK,
B0049656,UK,
B0049657,UK,
B0049658,UK,
B0049659,UK,
B0049660,UK,
B0049661,UK,
B0049664,UK,
B0049665,UK,
B0049961,UK,
B0049962,UK,
B0049964,UK,
B0049666,UK,
B0049667,UK,
B0049668,UK,
