PURCH_ORDER,PART_NO,AREA,ORDER_TYPE,SUPPLIER,COST,CURRENCY,RAISED_DATE,CLOSED_DATE
B0084825,4G43-7M125-DC,G,B,V0843,15.84,,7/27/12,2/8/13
B0084826,BG33-5B450-CA,G,B,AT2SA,346.5249,EUR,7/30/12,8/16/15
B0084827,BG33-5B451-CA,G,B,AT2SA,346.5249,EUR,7/30/12,8/16/15
B0084828,BG33-5B450-AA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084829,BG33-5B451-AA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084830,BG33-5B450-DA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084831,BG33-5B451-DA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084832,BG33-5B450-EA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084833,BG33-5B451-EA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084834,BG33-5B450-FA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084868,AD43-20569-AD,G,B,V1254,83.228,,7/30/12,8/16/15
B0084871,AD43-C519A38-AD,G,B,V1254,58.448,,7/30/12,8/16/15
B0084872,AD43-C519A39-AD,G,B,V1254,58.448,,7/30/12,8/16/15
B0084835,BG33-5B451-FA,G,B,AT2SA,350.8749,EUR,7/30/12,8/16/15
B0084836,6G33--20562--CA,G,B,V1254,17.42,,7/30/12,3/28/13
B0084837,6G33--20563--CA,G,B,V1254,17.42,,7/30/12,3/28/13
B0084838,6G33--20564--CA,G,B,V1254,4.22,,7/30/12,8/16/15
B0084839,6G33--20565--CA,G,B,V1254,4.22,,7/30/12,8/16/15
B0084840,6G33-20564-CB,G,B,V1254,3.79,,7/30/12,3/28/13
B0084841,6G33-20565-CB,G,B,V1254,3.79,,7/30/12,3/28/13
B0084842,6G33--20566--CA,G,B,V1254,4.7,,7/30/12,3/28/13
B0084843,6G33--20567--CA,G,B,V1254,4.7,,7/30/12,3/28/13
B0084844,6G33-C519A36-CB,G,B,V1254,67.57,,7/30/12,3/28/13
B0084845,6G33-C519A37-CB,G,B,V1254,67.57,,7/30/12,3/28/13
B0084846,6G33--L519A36--CA,G,B,V1254,28.37,,7/30/12,3/28/13
B0084847,6G33--L519A37--CA,G,B,V1254,28.37,,7/30/12,3/28/13
B0084848,6G33--1228496--CA,G,B,V1254,5.05,,7/30/12,7/2/13
B0084849,6G33--1228497--CA,G,B,V1254,5.05,,7/30/12,7/2/13
B0084863,AD43-20562-AC,G,B,V1254,29.6,,7/30/12,8/16/15
B0084864,AD43-20563-AC,G,B,V1254,29.6,,7/30/12,8/16/15
B0084867,AD43-20568-AD,G,B,V1254,83.228,,7/30/12,8/16/15
B0084850,6G33--130173--BA,G,B,V1254,0.2328,,7/30/12,7/2/13
B0084851,6G33--130174--BA,G,B,V1254,0.2328,,7/30/12,7/2/13
B0084854,4G43-F20562-BA,G,B,V1254,17.72,,7/30/12,3/28/13
B0084855,4G43-F20563-BA,G,B,V1254,17.72,,7/30/12,3/28/13
B0084856,4G43-519A36-CB,G,B,V1254,84.38,,7/30/12,7/2/13
B0084857,4G43-519A37-CB,G,B,V1254,84.38,,7/30/12,7/2/13
B0084858,4G43-1228494-DA,G,B,V1254,45.72,,7/30/12,7/2/13
B0084859,9G43-1228494-CA,G,B,V1254,16.17,,7/30/12,3/28/13
B0084860,9G43-1228495-CA,G,B,V1254,16.17,,7/30/12,3/28/13
B0084861,4G43-519A36-DA,G,B,V1254,24.56,,7/30/12,7/2/13
B0084862,4G43-519A37-DA,G,B,V1254,24.56,,7/30/12,7/2/13
B0084865,AD43-20562-AD,G,B,V1254,29.6,,7/30/12,5/10/13
B0084866,AD43-20563-AD,G,B,V1254,29.6,,7/30/12,5/10/13
B0084869,AD43-20568-AE,G,B,V1254,83.228,,7/30/12,5/14/13
B0084870,AD43-20569-AE,G,B,V1254,83.228,,7/30/12,5/14/13
B0084873,AD43-C519A38-AE,G,B,V1254,58.448,,7/30/12,5/14/13
B0084956,AD43-F40626-AC,G,B,V1436,190.7403,EUR,8/1/12,8/16/15
B0084959,BG33-C41033-AA,G,B,V1436,56.6064,EUR,8/1/12,8/16/15
B0084960,BG33-C41038-AA,G,B,V1436,43.9815,EUR,8/1/12,8/16/15
B0084874,AD43-C519A39-AE,G,B,V1254,58.448,,7/30/12,5/14/13
B0084878,AG33-17682-BC,G,B,C7L2A,74.42,,7/30/12,8/16/15
B0084879,AG33-17683-BC,G,B,C7L2A,74.42,,7/30/12,8/16/15
B0084880,AG33-3063472-DA,G,B,C7L2A,1.06,,7/30/12,4/9/14
B0084881,AG33-3063473-AB,G,B,C7L2A,1.06,,7/30/12,11/26/13
B0084882,AG33-3063472-AB,G,B,C7L2A,1.06,,7/30/12,11/26/13
B0084883,AG33-3063473-DA,G,B,C7L2A,1.06,,7/30/12,4/9/14
B0084884,AG33-3063472-BB,G,B,C7L2A,1.09,,7/30/12,4/9/14
B0084885,AG33-3063473-BB,G,B,C7L2A,1.04,,7/30/12,4/9/14
B0084886,AG33-3063472-CB,G,B,C7L2A,1.09,,7/30/12,4/9/14
B0084887,AG33-3063473-CB,G,B,C7L2A,1.09,,7/30/12,4/9/14
B0084888,AG33-39979062-AC,G,B,C7L2A,3.03,,7/30/12,
B0084889,AG33-39979063-AC,G,B,C7L2A,3.03,,7/30/12,
B0084892,AD43-17682-AD,G,B,C7L2A,86.34,,7/30/12,11/11/13
B0084893,AD43-17683-AD,G,B,C7L2A,86.34,,7/30/12,11/11/13
B0084894,DG43-5019-AD,G,B,CWFZA,389.6563,EUR,7/31/12,8/16/15
B0084895,AD33-17682-BD,G,B,C7L2A,548.76,,7/31/12,8/16/15
B0084906,CD33-2450-FA,G,B,C66TA,47.51,,7/31/12,8/16/15
B0084907,CD33-2450-HA,G,B,C66TA,47.037,,7/31/12,8/16/15
B0084912,AD43-A61390-AD,G,B,V0007,31.1618,EUR,7/31/12,8/21/15
B0084896,BG43-1K003-AC,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084898,4G43-2450-BH,G,B,C66TA,33.59,,7/31/12,7/17/13
B0084899,4G43-2450-DH,G,B,C66TA,33.54,,7/31/12,7/17/13
B0084900,4G43-2450-FA,G,B,C66TA,38.15,,7/31/12,7/17/13
B0084901,4G43-2450-HA,G,B,C66TA,38.1,,7/31/12,7/17/13
B0084913,AD43-A61391-AD,G,B,V0007,31.1618,EUR,7/31/12,8/21/15
B0084914,AG43-2677-AA,G,B,V0743,182.7575,EUR,7/31/12,3/1/13
B0084915,AG43-2677-BA,G,B,V0743,642.7169,EUR,7/31/12,3/1/13
B0084916,AG43-2677-CA,G,B,V0743,220.4622,EUR,7/31/12,3/1/13
B0084917,BG43-1K003-BC,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084919,CG43-2678-DA,G,B,V0743,338.9456,EUR,7/31/12,3/1/13
B0084920,BG43-1K003-CC,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084921,CG43-2678-BA,G,B,V0743,623.3657,EUR,7/31/12,3/1/13
B0084922,CG43-1K003-JB,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084923,CG43-2678-AA,G,B,V0743,214.1849,EUR,7/31/12,3/1/13
B0084951,4G43-6W366-AE,G,B,C66TA,95.155,,7/31/12,6/18/13
B0084952,AD43-F20412-AF,G,B,V1436,208.6362,EUR,8/1/12,8/16/15
B0084953,AD43-F20413-AF,G,B,V1436,208.6362,EUR,8/1/12,8/16/15
B0084924,BG43-1K003-DC,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084927,BG43-1100-AB,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084929,BG43-1100-BB,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084931,CG43-1N031-JB,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084933,BG43-1100-CB,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084935,BG43-1100-DB,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084936,BG43-1W009-AC,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084937,BG43-1W009-BC,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084938,CG43-1W009-JB,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084939,BG43-1W009-CC,G,B,ECGAA,306.41,,7/31/12,8/16/15
B0084940,BG43-1W009-DC,G,B,ECGAA,298.5,,7/31/12,8/16/15
B0084942,AY2Y-2678-AA,G,B,V0743,106.18,EUR,7/31/12,3/1/13
B0084943,AY2Y-2678-BA,G,B,V0743,333.2522,EUR,7/31/12,3/1/13
B0084944,AY2Y-2678-CA,G,B,V0743,140.3568,EUR,7/31/12,3/1/13
B0084948,AD33-17683-BD,G,B,C7L2A,548.76,,7/31/12,8/16/15
B0084949,AD23-14A173-BC,G,B,CW3LA,7.31,,7/31/12,2/4/13
B0084950,AD23-14A173-CC,G,B,CW3LA,7.07,,7/31/12,2/4/13
B0084945,AY2Y-2678-DA,G,B,V0743,433.4063,EUR,7/31/12,3/1/13
B0084946,CG43-2677-EA,G,B,V0743,517.1532,EUR,7/31/12,3/1/13
B0084954,AD43-F279A54-AD,G,B,V1436,23.1243,EUR,8/1/12,7/8/14
B0084955,AD43-F279A55-AD,G,B,V1436,32.4205,EUR,8/1/12,7/8/14
B0084957,AD43-F45108-AF,G,B,V1436,207.2383,EUR,8/1/12,7/8/14
B0084958,AD43-F47124-AB,G,B,V1436,35.0708,EUR,8/1/12,7/8/14
B0084961,CD33-47124-AB,G,B,V1436,169.5926,EUR,8/1/12,8/16/15
B0084962,CD33-C45108-AB,G,B,V1436,342.1735,EUR,8/1/12,1/24/13
B0084963,CG43-5E212-AB,G,B,V1436,39.7404,EUR,8/1/12,2/14/13
B0084964,CY83-20412-AA,G,B,V1436,133.808,EUR,8/1/12,8/16/15
B0084965,CY83-20413-AA,G,B,V1436,133.808,EUR,8/1/12,8/16/15
B0084966,CY83-C41032-AB,G,B,V1436,71.7321,EUR,8/1/12,8/16/15
B0084967,CY83-C41033-AB,G,B,V1436,99.2915,EUR,8/1/12,8/16/15
B0084968,DG43-L20412-AA,G,B,V1436,162.4309,EUR,8/1/12,7/8/14
B0084969,DG43-L20413-AA,G,B,V1436,162.4309,EUR,8/1/12,7/8/14
B0084970,DD33-016C46-AA,G,B,U9B6A,12.77,,8/1/12,1/28/13
B0084971,DD33-016C47-AA,G,B,U9B6A,12.77,,8/1/12,1/28/13
B0084972,DD33-4073A-AA,G,B,V0917,5.55,,8/1/12,1/25/13
B0084973,DD33-016C46-BA,G,B,U9B6A,12.61,,8/1/12,1/28/13
B0084974,DD33-016C47-BA,G,B,U9B6A,12.61,,8/1/12,1/28/13
B0084975,4G43-132A50-AC,G,B,D5F8A,1.93,,8/1/12,
B0084976,AY2Y-044J44-CC,G,B,V1052,25.088,,8/1/12,8/16/15
B0084977,AY2Y-044J44-DC,G,B,V1052,46.768,,8/1/12,8/16/15
B0084978,6G33-2450-AH,G,B,C66TA,82.67,,8/1/12,7/17/13
B0084979,6G33-2450-CH,G,B,C66TA,76.41,,8/1/12,7/17/13
B0084981,8D33-2450-AF,G,B,C66TA,88.01,,8/1/12,7/17/13
