PART_NO,car
4G43-03508-DA,2
4G43-03512-AA,2
4G43-03512-AB,2
4G43-03512-AC,2
4G43-03512-AD,2
4G43-03512-AF,2
4G43-03513-AA,2
4G43-03513-AB,2
4G43-03513-AC,2
4G43-03513-AD,2
4G43-03513-AF,2
4G43-03514-AA,2
4G43-03514-BA,2
4G43-03514-CA,2
4G43-03514-DA,2
4G43-03515-AA,2
4G43-03515-BA,2
4G43-03515-CA,2
4G43-03515-DA,2
4G43-03836-AA,2
4G43-03836-AB,1
 4G43-03836-AB ,2
4G43-03836-AB,3
4G43-03836-AB,5
4G43-0410-AA,2
4G43-0410-AA,3
4G43-0410-AA,5
4G43-04122-AA,2
4G43-04122-AB,2
4G43-04122-AB,3
4G43-04122-AC,2
4G43-04122-AC,3
4G43-04122-AC,5
4G43-04122-AD,Car 3
4G43-04122-AD,5
4G43-04123-AA,2
4G43-04123-AB,2
4G43-04123-AB,3
4G43-04123-AC,2
4G43-04123-AC,3
4G43-04123-AC,5
4G43-04123-AD,3
4G43-04150-AAW,2
4G43-04151-AAW,2
4G43-042B85-AA,3
4G43-042B85-AAW,3
4G43-042B85-AB,2
4G43-042B85-AB,3
4G43-04302-AAW,2
4G43-04302-AAW,4
4G43-04302-BAW,2
4G43-04302-BAW,4
4G43-04303-AAW,2
4G43-04303-AAW,4
4G43-04303-BAW,2
4G43-04303-BAW,4
4G43-04325-AAW,2
4G43-04325-AAW,4
4G43-04325-BAW,2
4G43-04325-BAW,4
4G43-043B04-AB,2
4G43-043B04-AB,3
4G43-043B05-AB,2
4G43-043B05-AB,3
4G43-043B19-AB,2
4G43-043B19-AB,4
4G43-043B20-AA,2
4G43-043B20-AB,2
4G43-043B20-AB,4
4G43-043C54-AAW,2
4G43-043C54-AAW,4
4G43-043C54-BAW,2
4G43-043C54-BAW,4
4G43-043C54-CAW,2
4G43-043C54-CAW,4
4G43-043C54-DAW,2
4G43-043C54-DAW,4
4G43-043K78-AB,2
4G43-043K78-AC,2
4G43-044B92-AAW,2
4G43-044B92-BAW,2
4G43-044B92-CAW,2
4G43-044B92-DAW,2
4G43-044B93-AA,2
4G43-044B95-AA,3
4G43-044B95-AA,5
4G43-044C32-AA,2
4G43-044C32-AA,3
4G43-044E68-AA,2
4G43-044E68-AA,3
4G43-044F04-AB,Car 2
4G43-044F04-AB,3
4G43-044F04-AC,3
4G43-044F04-AE,3
4G43-044F05-AB,2
4G43-044F05-AB ,3
4G43-044F05-AC,3
4G43-044F05-AD,3
4G43-044F05-AF,3
4G43-044F62-AAW,2
4G43-044F63-AAW,2
4G43-044F64-AAW,2
4G43-044F65-AAW,2
4G43-044H31-AA,2
4G43-044H31-AA,3
4G43-044H31-AA,5
4G43-044H31-AA,4
4G43-044H31-AB,2
4G43-044H31-AB,3
4G43-044H40-AAW,2
4G43-044H40-BAW,2
4G43-044H41-AAW,2
4G43-044H41-BAW,2
4G43-044H58-AAW,2
4G43-044H58-AAW,4
4G43-044H58-BAW,2
4G43-044H58-BAW,4
4G43-044H58-CAW,2
4G43-044H58-CAW ,4
4G43-044H58-DAW,2
4G43-044H58-DAW,4
4G43-044H58-EAW,2
4G43-044H58-EAW,4
4G43-044H58-FAW,2
4G43-044H58-FAW,4
4G43-044H72-AAW,2
4G43-044H72-ABW,2
4G43-044H72-ACW,Car 2
